Folder,Status,PDFs Found,PDFs Copied
4TNU583G,processed,1,1
4W6K4TUQ,processed,1,1
4XJLQX44,no_pdfs,0,0
4YNFT23K,no_pdfs,0,0
4Z6GGBUK,no_pdfs,0,0
4ST7HW9N,processed,1,1
4RNSKGPQ,processed,1,1
4NNEFHDS,processed,1,1
4RUEYS47,processed,1,1
4WCG6TWA,processed,1,1
525AE2KR,processed,1,1
53NRNP2U,no_pdfs,0,0
53GLY9KU,processed,1,1
53UTW2DS,processed,1,1
54BU3EF8,no_pdfs,0,0
54FMA6NF,no_pdfs,0,0
52Q2WBHE,processed,1,1
53ZIT2FM,processed,1,1
53VEBLX2,processed,1,1
4ZAJ6LT4,processed,1,1
555NFVL6,processed,1,1
56XW9K2L,processed,1,1
565PX925,processed,1,1
5539R5NA,processed,1,1
57BYRTQ6,no_pdfs,0,0
5AARXFMA,no_pdfs,0,0
56QMMSN7,processed,1,1
59M3UZ53,processed,1,1
5BNXN5ZC,no_pdfs,0,0
538ZGHD2,processed,1,1
57B8TTEZ,processed,1,1
5DDYA66T,no_pdfs,0,0
5CP2SUQG,no_pdfs,0,0
59SHTREX,processed,1,1
5EVAZIEJ,no_pdfs,0,0
5AR96WCV,processed,1,1
5ESUMXFW,processed,1,1
5G8Q7YAA,no_pdfs,0,0
5EEPSGI6,processed,1,1
5FXKXCDH,no_pdfs,0,0
5EHQDA2D,processed,1,1
5B9UIMI3,processed,1,1
5FQXSCYG,processed,1,1
5IKV7W3I,processed,1,1
5JLMC8PM,no_pdfs,0,0
5K49KER7,no_pdfs,0,0
5HNVCQRK,processed,1,1
5JFC47RA,processed,1,1
5I7JW7LJ,processed,1,1
5JN2WTLE,no_pdfs,0,0
5JEI2DHV,processed,1,1
5KWIERW9,processed,1,1
5KSD8WK3,processed,1,1
5M6F8ZJP,processed,1,1
5MEY9XL3,no_pdfs,0,0
5KY88RG6,processed,1,1
5LMVJZ4Z,processed,1,1
5KWQHARK,processed,1,1
5MTR7E6C,processed,1,1
5QAXZ6MI,no_pdfs,0,0
5MEGAZP5,processed,1,1
5NMGFE3A,processed,1,1
5SC6DEGC,no_pdfs,0,0
5R64L2WF,processed,1,1
5SV8FH42,no_pdfs,0,0
5MKQHF6Z,processed,1,1
5UKIVZW2,no_pdfs,0,0
5SMJN9EL,processed,1,1
5UZPQX6D,processed,1,1
5R6CPXFR,processed,1,1
5NXZPAIK,processed,1,1
5YP5A4WM,no_pdfs,0,0
5UEMP39C,processed,1,1
5Z6USJHV,no_pdfs,0,0
5ZET2496,no_pdfs,0,0
62P3DDDL,no_pdfs,0,0
5X75FGLM,processed,1,1
63FB6NC7,no_pdfs,0,0
63DAUFCC,processed,1,1
64HV83Q6,no_pdfs,0,0
65DM3QS9,processed,1,1
5Z358T3F,processed,1,1
66JQZK2D,no_pdfs,0,0
67J4F3SU,no_pdfs,0,0
67RJW34X,no_pdfs,0,0
63LMHK4E,processed,1,1
5L8N5LU6,processed,1,1
5WIBFF37,processed,1,1
677VJ67C,processed,1,1
6AWSQ2RJ,no_pdfs,0,0
68GPV4E5,processed,1,1
6CCMC35W,processed,1,1
68CA6SCC,processed,1,1
6ACWVQ7X,processed,1,1
5XUK994L,processed,1,1
6F9TA74X,no_pdfs,0,0
69KTWVHR,processed,1,1
6EXZH8XZ,processed,1,1
6FMF54DF,no_pdfs,0,0
6FZRIN7H,no_pdfs,0,0
6DKKG8SW,processed,1,1
6E6KHFGK,processed,1,1
6GB575SW,processed,1,1
6DNI2KXX,processed,1,1
6GIKVEJN,no_pdfs,0,0
6FJCJQW2,processed,1,1
6GIF9YUC,processed,1,1
6HE5HJ49,no_pdfs,0,0
6IMPV7ML,processed,1,1
6KS3PJWK,no_pdfs,0,0
6L8JAGAF,no_pdfs,0,0
6GTNE8KF,processed,1,1
6JCPARH2,processed,1,1
6M6ZKY2V,no_pdfs,0,0
6HQKVTFF,processed,1,1
6GZC6N77,processed,1,1
6LQWV5TJ,processed,1,1
6PDQ5KPB,processed,1,1
6PE3H7YD,processed,1,1
6R3S7IMX,no_pdfs,0,0
6IZM6I3V,processed,1,1
6R62G7Z6,processed,1,1
6SBBEFE7,no_pdfs,0,0
